"","Num","AGE","GENDER","NegEmot1","NegEmot2","NegEmot3","Egal1","Egal2","Egal3","Ind1","Ind2","Ind3","GovSupport1","GovSupport2","GovSupport3"
"201",302,23,1,6,4,7,5.4,6.4,6.3,4,4.5,4,4,4,2
"202",303,23,1,6,5,6,5.8,3.4,4.3,1.75,2.25,3.25,6,4.66666666666667,1
"203",304,22,1,3,2,4,4.8,3.2,2.8,1.25,2.5,1.5,4,4.33333333333333,3
"204",305,23,1,6,6,7,6.6,6.2,6.3,2,2.5,2.75,6,4.66666666666667,2
"205",306,23,1,4,4,5,6.2,5.8,5.4,1.75,2,2.25,5,4,2
"206",307,22,1,4,5,5,6,5.8,5.1,1.66666666666667,2.33333333333333,1.5,4,4.33333333333333,6
"207",308,23,1,5,5,5,5.4,6.2,5.7,3.75,4.75,4,5,5,4
"208",309,23,1,6,6,7,6.8,6.4,6.4,1.5,1.75,2,7,4.66666666666667,6
"209",310,23,1,6,6,6,6.4,6.6,6.4,1.5,1.25,1.5,5,4.33333333333333,6
"210",312,23,1,4,5,4,5.2,4.75,5.3,2.25,1.5,2.75,5,5,4
"211",315,23,1,5,6,6,5.6,6.2,6,1.75,2,3.5,7,6,5
"212",316,23,2,6,4,7,6.2,5.8,6.33333333333333,2,2,4,5,4.66666666666667,4
